"Tipo de estacion","Estación","Ciudad","Tipo de carga","Horario","Dirección","Estándar Cargador","Ubicación o sitio web","Coordenadas","Latitud","Longitud"
"Estación de carga eléctrica EPM","Aeropuerto","Rionegro","Rápida","12:00 pm a 11:59pm","Km 1 Glorieta Aeropuerto José María Córdova, Rionegro
 RURAL_190616200431527000_VEREDA SAJONIA","CHAdeMO- COMBO 1- MENNEKES","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.17938000,-75.44224100","6,17938000","-75,44224100"
"Estación de carga eléctrica EPM","Éxito Poblado","Medellín","Semi Rápida","8:00 am a 8:00 pm","Calle 10 # 43 E - 135, Medellin","Europeo- Mennekes 22 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.21194987,-75.57404774","6,21194987","-75,57404774"
"Estación de carga eléctrica EPM","Éxito Poblado","Medellín","Semi Rápida","8:00 am a 8:00 pm","Calle 10 # 43 E - 135, Medellin","J1772- 7,4 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.21194987,-75.57404774","6,21194987","-75,57404774"
"Estación de carga eléctrica EPM","Exposiciones","Medellín","Rápida","12:00 pm a 11:59 pm","Calle 36 # 53 - 55, Medellin","CHAdeMO- COMBO 1- MENNEKES","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.23747400,-75.57521000","6,23747400","-75,57521000"
"Estación de carga eléctrica EPM","EDS Texaco Vegas","Envigado","Rápida","12:00 pm a 11:59 pm","Carrera 48 # 30 Sur - 48, Envigado","CHAdeMO- COMBO 1- MENNEKES","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.17900319,-75.58839136","6,17900319","-75,58839136"
"Estación de carga eléctrica EPM","1er Parque Laureles","Medellín","Semi Rápida","12:00 pm a 11:59 pm","Circular 5 # 73 - 15, Medellin","J1772- 7,4 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.24564930,-75.59327930","6,24564930","-75,59327930"
"Estación de carga eléctrica EPM","1er Parque Laureles","Medellín","Semi Rápida","12:00 pm a 11:59 pm","Circular 5 # 73 - 15, Medellin","Europeo- Mennekes 22 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.24564930,-75.59327930","6,24564930","-75,59327930"
"Estación de carga eléctrica EPM","CC Los Molinos","Medellín","Semi Rápida","10:00 am a 10:00 pm","Calle 30 A # 82 A - 26, Medellín","J1772- 7,4 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.23199997,-75.60442682","6,23199997","-75,60442682"
"Estación de carga eléctrica EPM","CC Los Molinos","Medellín","Semi Rápida","10:00 am a 10:00 pm","Calle 30 A # 82 A - 26, Medellín","Europeo- Mennekes 22 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.23199997,-75.60442682","6,23199997","-75,60442682"
"Estación de carga eléctrica EPM","CC Mayorca","Sabaneta","Semi Rápida","10:00 am a 9:00 pm","Calle 51 Sur # 48 - 57, Sabaneta","Europeo- Mennekes 22 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.16070400,-75.60459600","6,16070400","-75,60459600"
"Estación de carga eléctrica EPM","CC Mayorca","Sabaneta","Semi Rápida","10:00 am a 9:00 pm","Calle 51 Sur # 48 - 57, Sabaneta","J1772- 7,4 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.16070400,-75.60459600","6,16070400","-75,60459600"
"Estación de carga eléctrica EPM","Milla de Oro","Medellín","Semi Rápida","8:00 am a 6:00 pm","Carrer 43 A # 3 Sur -130, Medellin","Europeo- Mennekes 22 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.19929518,-75.57225902","6,19929518","-75,57225902"
"Estación de carga eléctrica EPM","Milla de Oro","Medellín","Semi Rápida","8:00 am a 6:00 pm","Carrer 43 A # 3 Sur -130, Medellin","J1772- 7,4 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.19929518,-75.57225902","6,19929518","-75,57225902"
"Estación de carga eléctrica EPM","EDS Consolata - Nutibara","Medellín","Rápida","12:00 pm a 11:59 pm","Transversal 39 B # 79 - 41, Medellín","CHAdeMO- COMBO 1- MENNEKES","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.24805414,-75.59813799","6,24805414","-75,59813799"
"Estación de carga eléctrica EPM","Plaza Mayor","Medellín","Semi Rápida","7:30 am a 5:30 pm","Calle 41 # 55 - 80, Medellín","Europeo- Mennekes 22 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.24262272,-75.57617529","6,24262272","-75,57617529"
"Estación de carga eléctrica EPM","Plaza Mayor","Medellín","Semi Rápida","7:30 am a 5:30 pm","Calle 41 # 55 - 80, Medellín","J1772- 7,4 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.24262272,-75.57617529","6,24262272","-75,57617529"
"Estación de carga eléctrica EPM","CC Puerta del Norte","Bello","Semi Rápida","11:00 am a 9:00 pm","Diagonal 55 # 34 - 67, Bello","Europeo- Mennekes 22 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.34033635,-75.54240445","6,34033635","-75,54240445"
"Estación de carga eléctrica EPM","CC Puerta del Norte","Bello","Semi Rápida","11:00 am a 9:00 pm","Diagonal 55 # 34 - 67, Bello","J1772- 7,4 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.34033635,-75.54240445","6,34033635","-75,54240445"
"Estación de carga eléctrica EPM","EDS Santa María - Sabaneta","Sabaneta","Rápida","12:00 pm a 11:59 pm","Carrera 38 # 72 sur, Sabaneta","CHAdeMO- COMBO 1- MENNEKES","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.15343000,-75.61927444","6,15343000","-75,61927444"
"Estación de carga eléctrica EPM","CC Santa Fé","Medellín","Semi Rápida","10:00 am a 9:00 pm","Carrera 43 A # 7 Sur - 170, Medellín","J1772- 7,4 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.19638224,-75.57439339","6,19638224","-75,57439339"
"Estación de carga eléctrica EPM","CC Santa Fé","Medellín","Semi Rápida","10:00 am a 9:00 pm","Carrera 43 A # 7 Sur - 170, Medellín","Europeo- Mennekes 22 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.19638224,-75.57439339","6,19638224","-75,57439339"
"Estación de carga eléctrica EPM","CC El Tesoro","Medellín","Semi Rápida","8:00 am a 10:00 pm","Carrera 25 A # 1 A Sur – 45, Medellín","Europeo- Mennekes 22 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.19669812,-75.55892548","6,19669812","-75,55892548"
"Estación de carga eléctrica EPM","CC El Tesoro","Medellín","Semi Rápida","8:00 am a 10:00 pm","Carrera 25 A # 1 A Sur – 45, Medellín","J1772- 7,4 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.19669812,-75.55892548","6,19669812","-75,55892548"
"Estación de carga eléctrica EPM","CC Unicentro","Medellín","Semi Rápida","9:00 am a 8:00 pm","Carrera 66 B # 34 A - 76, Medellín","Europeo- Mennekes 22 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.24171224,-75.58784611","6,24171224","-75,58784611"
"Estación de carga eléctrica EPM","CC Unicentro","Medellín","Semi Rápida","9:00 am a 8:00 pm","Carrera 66 B # 34 A - 76, Medellín","J1772- 7,4 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.24171224,-75.58784611","6,24171224","-75,58784611"
"Estación de carga eléctrica EPM","Viva Palmas","Envigado","Semi Rápida","7:00 am a 8:00 pm","Calle 36 D Sur # 27 A - 105, Envigado","J1772- 7,4 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.15293469,-75.54097876","6,15293469","-75,54097876"
"Estación de carga eléctrica EPM","Viva Palmas","Envigado","Semi Rápida","7:00 am a 8:00 pm","Calle 36 D Sur # 27 A - 105, Envigado","Europeo- Mennekes 22 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.15293469,-75.54097876","6,15293469","-75,54097876"
"Estación de carga eléctrica EPM","CC La Florida","Medellín","Semi Rápida","10:00 am a 9:00 pm","Calle 71 # 65 - 150, Medellín","J1772- 7,4 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.27227632,-75.57994240","6,27227632","-75,57994240"
"Estación de carga eléctrica EPM","CC La Florida","Medellín","Semi Rápida","10:00 am a 9:00 pm","Calle 71 # 65 - 150, Medellín","Europeo- Mennekes 22 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.27227632,-75.57994240","6,27227632","-75,57994240"
"Estación de carga eléctrica EPM","Sao Paulo","Medellín","Semi Rápida","8:00 am a 9:00 pm","Carrera 43 A Calle 18 SUR - 135, Medellin","Europeo- Mennekes 22 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.18487300,-75.57991110","6,18487300","-75,57991110"
"Estación de carga eléctrica EPM","Sao Paulo","Medellín","Semi Rápida","8:00 am a 9:00 pm","Carrera 43 A Calle 18 SUR - 135, Medellin","J1772- 7,4 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.18487300,-75.57991110","6,18487300","-75,57991110"
"Estación de carga eléctrica EPM","La Pintada","La Pintada","Rápida","12:00 pm a 11:59 pm","CL. 28 # 30 B - 24, Mall Rafael Uribe Uribe, La Pintada, Antioquia","CHAdeMO, CCS y AC tipo 2","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","5.74153784,-75.60598521","5,74153784","-75,60598521"
"Estación de carga eléctrica EPM","Los Alamos","Medellín","Rápida","12:00 pm a 11:59 pm","Carrera 52 # 65-07, La Candelaria, Medellín, La Candelaria","CHAdeMO, CCS y AC tipo 2","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.26297220,-75.56668900","6,26297220","-75,56668900"
"Estación de carga eléctrica EPM","La Fe","El Retiro","Semi Rápida","12:00 pm a 11:59 pm","Mall la Fé via las Palmas, km 28, Retiro, Antioquia","J1772- 7,4 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.09031580, -75.49305705","6.09031580","75.49305705"
"Estación de carga eléctrica EPM","La Fe","El Retiro","Semi Rápida","12:00 pm a 11:59 pm","Mall la Fé via las Palmas, km 28, Retiro, Antioquia","Europeo- Mennekes 22 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.09031580, -75.49305705","6.09031580","75.49305705"
"Estación de carga eléctrica EPM","MAMM Ciudad del Rio","Medellín","Semi Rápida","12:00 pm a 11:59 pm","Carrera 44 N° 19A-100","Europeo- Mennekes 22 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.22400100,-75.57404400","6,22400100","-75,57404400"
"Estación de carga eléctrica EPM","MAMM Ciudad del Rio","Medellín","Semi Rápida","12:00 pm a 11:59 pm","Carrera 44 N° 19A-100","J1772- 7,4 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.22400100,-75.57404400","6,22400100","-75,57404400"
"Estación de carga eléctrica EPM","Oviedo","Medellín","Semi Rápida","8:00 am a 10:00 pm","CR 43 A CL 6 Sur - 15 (Interior 5000)","J1772- 11 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.19907980,-75.57405890","6,19907980","-75,57405890"
"Estación de carga eléctrica EPM","Oviedo","Medellín","Semi Rápida","8:00 am a 10:00 pm","CR 43 A CL 6 Sur - 15 (Interior 5000)","Europeo- Mennekes 22 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.19907980,-75.57405890","6,19907980","-75,57405890"
"Estación de carga eléctrica EPM","Tesoro 2","Medellín","Semi Rápida","8:00 am a 10:00 pm","Carrera 25 A # 1 A Sur – 45, Medellín, sotano 4 Plaza Palmas","J1772- 7,4 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.19669812,-75.55892548","6,19669812","-75,55892548"
"Estación de carga eléctrica EPM","Tesoro 2","Medellín","Semi Rápida","8:00 am a 10:00 pm","Carrera 25 A # 1 A Sur – 45, Medellín, sotano 4 Plaza Palmas","Europeo- Mennekes 22 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","6.19669812,-75.55892548","6,19669812","-75,55892548"
"Estación de carga eléctrica EPM","Nuestro Urabá","Aparatadó","Semi Rápida","8:00 am a 10:00 pm","Carrera 99 84 -18 Km 1 Vía Carepa","J1772- 7,4 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","7.87401680,-76.63507450","7,87401680","-76,63507450"
"Estación de carga eléctrica EPM","Nuestro Urabá","Aparatadó","Semi Rápida","8:00 am a 10:00 pm","Carrera 99 84 -18 Km 1 Vía Carepa","Europeo- Mennekes 22 Kw-h","https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5","7.87401680,-76.63507450","7,87401680","-76,63507450"
"Estación de gas natural vehicular","Caribe","Medellín","Información no disponible","24 horas","CR 64C # 72-226","Información no disponible","https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a","6.27225, -75.57275","6.27225","-75.57275"
"Estación de gas natural vehicular","El Bosque","Medellín","Información no disponible","24 horas","CR 52 # 78-20","Información no disponible","https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a","6.27346, -75.56461","6.27346","-75.56461"
"Estación de gas natural vehicular","Punto Cero","Medellín","Información no disponible","24 horas","DG 64E CL 67-405","Información no disponible","https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a","6.26913, -75.57545","6.26913","-75.57545"
"Estación de gas natural vehicular","Exposiciones","Medellín","Información no disponible","24 horas","CL 36 # 53-67","Información no disponible","https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a","6.23825, -75.57453","6.23825","-75.57453"
"Estación de gas natural vehicular","Bolivariana","Medellín","Información no disponible","24 horas","AV 33 # 66A-21","Información no disponible","https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a","6.23937, -75.58659","6.23937","-75.58659"
"Estación de gas natural vehicular","La 30","Medellín","Información no disponible","6:00 am a 10:00 pm","CR 65 # 30-40","Información no disponible","https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a","6.23240, -75.58206","6.23240","-75.58206"
"Estación de gas natural vehicular","Belén","Medellín","Información no disponible","24 horas","CL 30A # 69C-11","Información no disponible","https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a","6.23186, -75.59094","6.23186","-75.59094"
"Estación de gas natural vehicular","Mayorca","Sabaneta","Información no disponible","24 horas","CL 57 SUR # 48-25","Información no disponible","https://grupoepm.maps.arcgis.com/apps/MapTour/index.html?appid=60e834b97a5d4ddd9cce97d68f71d75a","6.15896, -75.60821","6.15896","-75.60821"
