"CONSUMO PRIMERA MITAD DEL MES","CONSUMO SEGUNDA MITAD DEL MES","TOTAL DE CONSUMO","MES","AÑO"
"360","5,916","6,276","Enero","2,019"
"3,306","4,749","8,055","Febrero","2,019"
"440","6,087","6,527","Marzo","2,019"
"3,602","4,543","8,145","Abril","2,019"
"2,684","5,976","8,660","Mayo","2,019"
"2,640","6,246","8,886","Junio","2,019"
"440","7,641","8,081","Julio","2,019"
"2,880","5,947","8,827","Agosto","2,019"
"520","8,947","9,467","Septiembre","2,019"
"1,206","10,557","11,763","Octubre","2,019"
"4,644","8,543","13,187","Noviembre","2,019"
"6,233","13,327","19,559","Diciembre","2,019"
"3,952","11,967","15,919","Enero","2,020"
"6,280","8,495","14,775","Febrero","2,020"
"5,173","8,702","13,875","Marzo","2,020"
"2,500","5,290","7,790","Abril","2,020"
"3,350","6,913","10,263","Mayo","2,020"
"1,280","151,050","152,330","Junio","2,020"
"-142,165","6,078","-136,087","Julio","2,020"
"1,540","6,290","7,830","Agosto","2,020"
"2,460","213,663","216,123","Septiembre","2,020"
"-203,350","7,825","-195,525","Octubre","2,020"
"2,163","11,761","13,924","Noviembre","2,020"
"5,862","30,642","36,504","Diciembre","2,020"
"11,473","16,679","28,152","Enero","2,021"
"5,230","7,607","12,837","Febrero","2,021"
"2,990","8,730","11,720","Marzo","2,021"
"4,950","5,577","10,527","Abril","2,021"
"2,775","6,780","9,555","Mayo","2,021"
"4,260","6,981","11,241","Junio","2,021"
"5,760","7,119","12,879","Julio","2,021"
"1,320","250","1,570","Agosto","2,021"
"3,610","8,624","12,234","Septiembre","2,021"
"1,520","710","2,230","Octubre","2,021"
"3,160","8,878","12,038","Noviembre","2,021"
"5,097","9,875","14,972","Diciembre","2,021"
"5,620","8,396","14,016","Enero","2,022"
"1,000","465","1,465","Febrero","2,022"
"4,360","11,299","15,659","Marzo","2,022"
"6,453","11,434","17,887","Abril","2,022"
"6,927","12,196","19,122","Mayo","2,022"
"7,010","9,956","16,966","Junio","2,022"
"10,215","12,390","22,605","Julio","2,022"
"8,080","13,041","21,121","Agosto","2,022"
"8,310","12,568","20,878","Septiembre","2,022"
"8,410","14,537","22,947","Octubre","2,022"
"6,940","13,340","20,280","Noviembre","2,022"
"7,790","14,952","22,742","Diciembre","2,022"
"10,845","13,495","24,339","Enero","2,023"
"10,858","15,705","26,564","Febrero","2,023"
"10,017","14,153","24,170","Marzo","2,023"
"8,760","16,459","25,219","Abril","2,023"
"14,883","16,744","31,626","Mayo","2,023"
"10,757","17,602","28,359","Junio","2,023"
"11,280","15,708","26,988","Julio","2,023"
"10,279","18,613","28,892","Agosto","2,023"
"14,633","12,589","27,222","Septiembre","2,023"
"12,223","16,597","28,820","Octubre","2,023"
"12,578","14,865","27,443","Noviembre","2,023"
"24,638","42,925","67,563","Diciembre","2,023"
"14,120","15,054","29,174","Enero","2,024"
"11,000","19,229","30,229","Febrero","2,024"
"11,960","13,270","25,230","Marzo","2,024"
"11,260","13,131","24,391","Abril","2,024"
"9,910","17,941","27,851","Mayo","2,024"
"11,290","16,741","28,031","Junio","2,024"
"21,575","47,609","69,184","Julio","2,024"
"33,830","51,243","85,073","Agosto","2,024"
"29,327","49,465","78,791","Septiembre","2,024"
"23,720","44,781","68,501","Octubre","2,024"
"14,203","31,761","45,964","Noviembre","2,024"
"106,700","42,505","149,205","Diciembre","2,024"
"3,484","0","3,484","Enero","2,025"
"14,020","43,253","57,273","Febrero","2,025"
"14.38","47.993","62.373","Marzo","2,025"
"25.426","34.33","59.756","Abril","2,025"
"16.78","50.831","67.611","Mayo","2,025"
"12.82","52.467","65.287","Junio","2,025"
