Estación,Ciudad,Tipo de carga,Horario,Dirección,Estándar Cargador,Coordenadas
Aeropuerto,Rionegro,Rápida,12:00 pm a 11:59pm,"Km 1 Glorieta Aeropuerto José María Córdova, Rionegro
 RURAL_190616200431527000_VEREDA SAJONIA",CHAdeMO- COMBO 1- MENNEKES,"6.17938000,-75.44224100"
Éxito Poblado,Medellín,Semi Rápida,8:00 am a 8:00 pm,"Calle 10 # 43 E - 135, Medellin",Europeo- Mennekes 22 Kw-h,"6.21194987,-75.57404774"
Éxito Poblado,Medellín,Semi Rápida,8:00 am a 8:00 pm,"Calle 10 # 43 E - 135, Medellin","J1772- 7,4 Kw-h","6.21194987,-75.57404774"
Exposiciones,Medellín,Rápida,12:00 pm a 11:59 pm,"Calle 36 # 53 - 55, Medellin",CHAdeMO- COMBO 1- MENNEKES,"6.23747400,-75.57521000"
EDS Texaco Vegas,Envigado,Rápida,12:00 pm a 11:59 pm,"Carrera 48 # 30 Sur - 48, Envigado",CHAdeMO- COMBO 1- MENNEKES,"6.17900319,-75.58839136"
1er Parque Laureles,Medellín,Semi Rápida,12:00 pm a 11:59 pm,"Circular 5 # 73 - 15, Medellin","J1772- 7,4 Kw-h","6.24564930,-75.59327930"
1er Parque Laureles,Medellín,Semi Rápida,12:00 pm a 11:59 pm,"Circular 5 # 73 - 15, Medellin",Europeo- Mennekes 22 Kw-h,"6.24564930,-75.59327930"
CC Los Molinos,Medellín,Semi Rápida,10:00 am a 10:00 pm,"Calle 30 A # 82 A - 26, Medellín","J1772- 7,4 Kw-h","6.23199997,-75.60442682"
CC Los Molinos,Medellín,Semi Rápida,10:00 am a 10:00 pm,"Calle 30 A # 82 A - 26, Medellín",Europeo- Mennekes 22 Kw-h,"6.23199997,-75.60442682"
CC Mayorca,Sabaneta,Semi Rápida,10:00 am a 9:00 pm,"Calle 51 Sur # 48 - 57, Sabaneta",Europeo- Mennekes 22 Kw-h,"6.16070400,-75.60459600"
CC Mayorca,Sabaneta,Semi Rápida,10:00 am a 9:00 pm,"Calle 51 Sur # 48 - 57, Sabaneta","J1772- 7,4 Kw-h","6.16070400,-75.60459600"
Milla de Oro,Medellín,Semi Rápida,8:00 am a 6:00 pm,"Carrer 43 A # 3 Sur -130, Medellin",Europeo- Mennekes 22 Kw-h,"6.19929518,-75.57225902"
Milla de Oro,Medellín,Semi Rápida,8:00 am a 6:00 pm,"Carrer 43 A # 3 Sur -130, Medellin","J1772- 7,4 Kw-h","6.19929518,-75.57225902"
EDS Consolata - Nutibara,Medellín,Rápida,12:00 pm a 11:59 pm,"Transversal 39 B # 79 - 41, Medellín",CHAdeMO- COMBO 1- MENNEKES,"6.24805414,-75.59813799"
Plaza Mayor,Medellín,Semi Rápida,7:30 am a 5:30 pm,"Calle 41 # 55 - 80, Medellín",Europeo- Mennekes 22 Kw-h,"6.24262272,-75.57617529"
Plaza Mayor,Medellín,Semi Rápida,7:30 am a 5:30 pm,"Calle 41 # 55 - 80, Medellín","J1772- 7,4 Kw-h","6.24262272,-75.57617529"
CC Puerta del Norte,Bello,Semi Rápida,11:00 am a 9:00 pm,"Diagonal 55 # 34 - 67, Bello",Europeo- Mennekes 22 Kw-h,"6.34033635,-75.54240445"
CC Puerta del Norte,Bello,Semi Rápida,11:00 am a 9:00 pm,"Diagonal 55 # 34 - 67, Bello","J1772- 7,4 Kw-h","6.34033635,-75.54240445"
EDS Santa María - Sabaneta,Sabaneta,Rápida,12:00 pm a 11:59 pm,"Carrera 38 # 72 sur, Sabaneta",CHAdeMO- COMBO 1- MENNEKES,"6.15343000,-75.61927444"
CC Santa Fé,Medellín,Semi Rápida,10:00 am a 9:00 pm,"Carrera 43 A # 7 Sur - 170, Medellín","J1772- 7,4 Kw-h","6.19638224,-75.57439339"
CC Santa Fé,Medellín,Semi Rápida,10:00 am a 9:00 pm,"Carrera 43 A # 7 Sur - 170, Medellín",Europeo- Mennekes 22 Kw-h,"6.19638224,-75.57439339"
CC El Tesoro,Medellín,Semi Rápida,8:00 am a 10:00 pm,"Carrera 25 A # 1 A Sur – 45, Medellín",Europeo- Mennekes 22 Kw-h,"6.19669812,-75.55892548"
CC El Tesoro,Medellín,Semi Rápida,8:00 am a 10:00 pm,"Carrera 25 A # 1 A Sur – 45, Medellín","J1772- 7,4 Kw-h","6.19669812,-75.55892548"
CC Unicentro,Medellín,Semi Rápida,9:00 am a 8:00 pm,"Carrera 66 B # 34 A - 76, Medellín",Europeo- Mennekes 22 Kw-h,"6.24171224,-75.58784611"
CC Unicentro,Medellín,Semi Rápida,9:00 am a 8:00 pm,"Carrera 66 B # 34 A - 76, Medellín","J1772- 7,4 Kw-h","6.24171224,-75.58784611"
Viva Palmas,Envigado,Semi Rápida,7:00 am a 8:00 pm,"Calle 36 D Sur # 27 A - 105, Envigado","J1772- 7,4 Kw-h","6.15293469,-75.54097876"
Viva Palmas,Envigado,Semi Rápida,7:00 am a 8:00 pm,"Calle 36 D Sur # 27 A - 105, Envigado",Europeo- Mennekes 22 Kw-h,"6.15293469,-75.54097876"
