COMBUSTIBLE,AÑO_REGISTRO,CLASE,SERVICIO,MARCA,MUNICIPIO,DEPARTAMENTO,CAPACIDAD_PASAJEROS,POTENCIA,CANTIDAD
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,49.0,402.0,1
ELECTRICO,2022,CAMIONETA,Particular,BYD,PEREIRA,Risaralda,,134.0,1
ELECTRICO,2015,MOTOCICLETA,Particular,E-MOTORI,FLORENCIA,Caqueta,,,1
ELECTRICO,2022,CAMIONETA,Público,DONGFENG,FUNZA,Cundinamarca,,80.0,1
ELECTRICO,2021,CAMIONETA,Particular,BYD,EL ROSAL,Cundinamarca,,161.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,MINI,SABANETA,Antioquia,,184.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,170.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,BYD,ENVIGADO,Antioquia,,60.0,1
ELECTRICO,2022,CAMIONETA,Particular,BMW,FUNZA,Cundinamarca,,326.0,1
ELECTRICO,2020,CAMIONETA,Público,JAC,ENVIGADO,Antioquia,0.0,147.0,1
ELECTRICO,2022,CAMIONETA,Particular,JAC,BOGOTA,Bogota D.C.,,147.0,1
ELECTRICO,2014,MOTOCICLETA,Particular,DBO,BOGOTA,Bogota D.C.,0.0,,1
ELECTRICO,2021,MOTOTRICICLO,Particular,QIANG SHENG,MOSQUERA,Cundinamarca,,,1
ELECTRICO,2021,CAMIONETA,Particular,BYD,BOGOTA,Bogota D.C.,,94.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,49.0,402.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,BMW,SABANETA,Antioquia,,181.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,,268.0,1
ELECTRICO,2016,AUTOMOVIL,Particular,RENAULT,ENVIGADO,Antioquia,,15.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,PORSCHE,CUCUTA,Norte de Santander,0.0,483.0,1
ELECTRICO,2021,AUTOMOVIL,Particular,CHANGAN,SABANETA,Antioquia,,74.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,CHANGAN,FUNZA,Cundinamarca,,74.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,MINI,MEDELLIN,Antioquia,,184.0,1
ELECTRICO,2016,MOTOCARRO,Público,DAYUN,COTA,Cundinamarca,2.0,2.0,1
ELECTRICO,2016,MOTOCARRO,Público,DAYUN,COTA,Cundinamarca,2.0,2.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,JAC,ENVIGADO,Antioquia,,60.0,1
ELECTRICO,2013,MOTOCICLETA,Particular,ENERGY MOTION,RIONEGRO,Antioquia,,,1
ELECTRICO,2018,CUADRICICLO,Particular,RENAULT,BOGOTA,Bogota D.C.,,15.0,1
ELECTRICO,2021,CUADRICICLO,Particular,RENAULT,BOGOTA,Bogota D.C.,,15.0,1
ELECTRICO,2022,CAMIONETA,Particular,BYD,BOGOTA,Bogota D.C.,,94.0,1
ELECTRICO,2020,CUADRICICLO,Particular,RENAULT,BOGOTA,Bogota D.C.,,15.0,1
ELECTRICO,2019,CUADRICICLO,Particular,RENAULT,ENVIGADO,Antioquia,,15.0,1
ELECTRICO,2022,BUS,Público,BYD,BOGOTA,Bogota D.C.,,402.0,1
ELECTRICO,2022,AUTOMOVIL,Particular,MINI,BOGOTA,Bogota D.C.,,184.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,170.0,1
ELECTRICO,2022,CAMIONETA,Particular,HYUNDAI,BOGOTA,Bogota D.C.,,201.0,1
ELECTRICO,2019,AUTOMOVIL,Particular,BMW,BOGOTA,Bogota D.C.,,170.0,1
