TOTAL DE CONSUMO,MES,AÑO
6276.0,Enero,2019
8055.0,Febrero,2019
6527.0,Marzo,2019
8145.0,Abril,2019
8660.0,Mayo,2019
8886.0,Junio,2019
8081.0,Julio,2019
8827.0,Agosto,2019
9467.0,Septiembre,2019
11763.0,Octubre,2019
13187.0,Noviembre,2019
19559.0,Diciembre,2019
15919.0,Enero,2020
14775.0,Febrero,2020
13875.0,Marzo,2020
7790.0,Abril,2020
10263.0,Mayo,2020
152330.0,Junio,2020
-136087.0,Julio,2020
7830.0,Agosto,2020
216123.0,Septiembre,2020
-195525.0,Octubre,2020
13924.0,Noviembre,2020
36504.0,Diciembre,2020
28152.0,Enero,2021
12837.0,Febrero,2021
11720.0,Marzo,2021
10527.0,Abril,2021
9555.0,Mayo,2021
11241.0,Junio,2021
12879.0,Julio,2021
1570.0,Agosto,2021
12234.0,Septiembre,2021
2230.0,Octubre,2021
12038.0,Noviembre,2021
14972.0,Diciembre,2021
14016.0,Enero,2022
1465.0,Febrero,2022
15659.0,Marzo,2022
17887.0,Abril,2022
19122.0,Mayo,2022
16966.0,Junio,2022
22605.0,Julio,2022
21121.0,Agosto,2022
20878.0,Septiembre,2022
22947.0,Octubre,2022
20280.0,Noviembre,2022
22742.0,Diciembre,2022
24339.0,Enero,2023
26564.0,Febrero,2023
24170.0,Marzo,2023
25219.0,Abril,2023
31626.0,Mayo,2023
28359.0,Junio,2023
26988.0,Julio,2023
28892.0,Agosto,2023
27222.0,Septiembre,2023
28820.0,Octubre,2023
27443.0,Noviembre,2023
67563.0,Diciembre,2023
29174.0,Enero,2024
30229.0,Febrero,2024
25230.0,Marzo,2024
24391.0,Abril,2024
27851.0,Mayo,2024
28031.0,Junio,2024
69184.0,Julio,2024
85073.0,Agosto,2024
78791.0,Septiembre,2024
68501.0,Octubre,2024
45964.0,Noviembre,2024
149205.0,Diciembre,2024
3484.0,Enero,2025
57273.0,Febrero,2025
62.373,Marzo,2025
59.756,Abril,2025
67.611,Mayo,2025
65.287,Junio,2025
